No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
306,MLPT,Multipolar Technology Tbk.,08 Jul 2013,46.875.000.000,Pengembangan
307,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Pengembangan
308,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama
309,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.386.963.276,Utama
310,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,33.828.872.408,Pemantauan Khusus
311,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Pengembangan
312,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,Pengembangan
313,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Pengembangan
314,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,12.276.884.585,Utama
315,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,Pemantauan Khusus
316,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama
317,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pemantauan Khusus
318,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,Pengembangan
319,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
320,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,Pemantauan Khusus
321,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
322,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,Pengembangan
323,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
324,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
325,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Utama
326,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Pengembangan
327,OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pemantauan Khusus
328,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,2.373.449.165,Pengembangan
329,OMRE,Indonesia Prima Property Tbk,22 Agt 1994,2.945.211.000,Pengembangan
330,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,13.568.695.829,Utama
331,PALM,Provident Investasi Bersama Tb,08 Okt 2012,15.732.874.458,Utama
332,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.387.500.000,Pengembangan
333,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
334,PBRX,Pan Brothers Tbk.,16 Agt 1990,21.482.028.246,Pemantauan Khusus
335,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan
336,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,3.777.889.408,Pengembangan
337,PGAS,Perusahaan Gas Negara (Persero,15 Des 2003,24.241.508.196,Utama
338,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,Pengembangan
339,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan
340,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Pengembangan
341,PKPK,Paragon Karya Perkasa Tbk.,11 Jul 2007,1.200.000.000,Pengembangan
342,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pemantauan Khusus
343,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Pemantauan Khusus
344,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
345,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Pengembangan
346,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
347,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama
348,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan
349,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,Pengembangan
350,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,Pengembangan
351,PTBA,Bukit Asam (Persero) Tbk.,23 Des 2002,11.520.659.250,Utama
352,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,Pengembangan
353,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
354,PTRO,Petrosea Tbk.,21 Mei 1990,10.086.050.000,Utama
355,PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Pengembangan
356,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,Pengembangan
357,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,659.120.000,Pengembangan
358,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama
359,PYFA,Pyridam Farma Tbk,16 Okt 2001,11.236.750.657,Pengembangan
360,RAJA,Rukun Raharja Tbk.,19 Apr 2006,21.135.412.500,Utama
361,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama
362,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Pengembangan
363,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Pengembangan
364,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Pengembangan
365,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Pengembangan
366,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,Pengembangan
367,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,609.130.000,Pengembangan
368,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pemantauan Khusus
369,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pengembangan
370,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Pengembangan
371,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,Pengembangan
372,SAFE,Steady Safe Tbk,15 Agt 1994,821.207.512,Pengembangan
373,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,17.164.632.545,Utama
374,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,822.333.600,Pengembangan
375,SCMA,Surya Citra Media Tbk.,16 Jul 2002,63.564.703.280,Utama
376,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,3.600.000,Pemantauan Khusus
377,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,2.250.691.100,Pengembangan
378,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,Pengembangan
379,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,14.545.267.990,Pengembangan
380,SGRO,Prime Agri Resources Tbk.,18 Jun 2007,1.818.622.000,Utama
381,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,Pengembangan
382,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,30.000.000.000,Utama
383,SILO,Siloam International Hospitals,12 Sep 2013,13.006.125.000,Utama
384,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,Pemantauan Khusus
385,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.501.310.000,Utama
386,SIPD,Sreeya Sewu Indonesia Tbk.,27 Des 1996,1.839.102.056,Pengembangan
387,SKBM,Sekar Bumi Tbk.,28 Sep 2012,1.730.103.217,Pengembangan
388,SKLT,Sekar Laut Tbk.,08 Sep 1993,6.907.405.000,Pengembangan
389,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,585.000.000,Pemantauan Khusus
390,SMAR,Sinar Mas Agro Resources and T,20 Nov 1992,2.872.193.366,Utama
391,SMBR,Semen Baturaja (Persero) Tbk.,28 Jun 2013,9.932.534.336,Utama
392,SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,9.019.381.973,Pemantauan Khusus
393,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan
394,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama
395,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,6.751.540.089,Utama
396,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Pengembangan
397,SMMT,Golden Eagle Energy Tbk.,01 Des 1997,3.425.000.000,Pengembangan
398,SMRA,Summarecon Agung Tbk.,07 Mei 1990,16.508.568.358,Utama
399,SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,Pemantauan Khusus
400,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,Utama
401,SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,Pengembangan
402,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,662.400.000,Pemantauan Khusus
403,SPMA,Suparma Tbk.,16 Nov 1994,5.330.410.085,Pengembangan
404,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,15.537.591.429,Pengembangan
405,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.238.959.990,Pengembangan
406,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,Pemantauan Khusus
407,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,Pengembangan
408,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,13.564.835.000,Utama
409,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama
410,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,Utama
411,SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,1.170.909.181,Pengembangan
412,STAR,Calculus Global Ventures Tbk.,13 Jul 2011,4.800.000.602,Pengembangan
413,STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,Pengembangan
414,SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,Pemantauan Khusus
415,SULI,SLJ Global Tbk.,21 Mar 1994,6.320.776.836,Pengembangan
416,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pemantauan Khusus
417,TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,Pengembangan
418,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Pemantauan Khusus
419,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus
420,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama
421,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,6.025.373.372,Utama
422,TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,734.680.000,Pengembangan
423,TCID,Mandom Indonesia Tbk.,30 Sep 1993,402.133.334,Pengembangan
424,TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,7.310.929.389,Pemantauan Khusus
425,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,Pemantauan Khusus
426,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,Pengembangan
427,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,3.552.213.000,Pengembangan
428,TINS,TIMAH (Persero) Tbk.,19 Okt 1995,7.447.753.454,Utama
429,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan
430,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,Pemantauan Khusus
431,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,Utama
432,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama
433,TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama
434,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,Pengembangan
435,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,8.319.512.975,Utama
436,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama
437,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Utama
438,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,59.098.103.731,Utama
439,TPIA,Chandra Asri Pacific Tbk.,26 Mei 2008,86.511.545.092,Utama
440,TPMA,Trans Power Marine Tbk.,20 Feb 2013,3.507.420.034,Utama
441,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.643.627.934,Pemantauan Khusus
442,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pemantauan Khusus
443,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama
444,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,Pemantauan Khusus
445,TRIS,Trisula International Tbk.,28 Jun 2012,3.141.443.831,Pengembangan
446,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,Pengembangan
447,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan
448,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.509.864.300,Utama
449,ULTJ,Ultrajaya Milk Industry & Trad,02 Jul 1990,10.398.175.200,Utama
450,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,Utama
451,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,Pengembangan
452,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,17.005.275.078,Pemantauan Khusus
453,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama
454,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,38.150.000.000,Utama
455,VICO,Victoria Investama Tbk.,08 Jul 2013,15.217.075.658,Utama
456,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.553.430.759,Pengembangan
457,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,Pemantauan Khusus
458,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Pengembangan
459,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,5.687.353.997,Pengembangan
460,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,1.240.923.111,Pengembangan
461,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan
462,WICO,Wicaksana Overseas Internation,08 Agt 1994,2.393.710.348,Pemantauan Khusus
463,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,Utama
464,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,39.873.063.858,Pemantauan Khusus
465,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,4.523.065.893,Utama
466,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,Pengembangan
467,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,28.806.807.016,Pemantauan Khusus
468,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,Utama
469,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,Pengembangan
470,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,Pengembangan
471,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,2.510.706.263,Pemantauan Khusus
472,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,2.719.790.000,Utama
473,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.476.269.803,Pengembangan
474,DAYA,Duta Intidaya Tbk.,28 Jun 2016,2.420.547.025,Pengembangan
475,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,4.175.000.000,Pengembangan
476,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,Pengembangan
477,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,22.581.909.405,Pengembangan
478,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,Pengembangan
479,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pemantauan Khusus
480,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.500.000.000,Pemantauan Khusus
481,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pemantauan Khusus
482,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,6.347.220.000,Pengembangan
483,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Utama
484,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,1.438.370.465,Pemantauan Khusus
485,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,56.959.163.746,Pemantauan Khusus
486,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,3.000.000.000,Pengembangan
487,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,Utama
488,BOGA,Apollo Global Interactive Tbk.,19 Des 2016,3.803.526.210,Pengembangan
489,BRIS,Bank Syariah Indonesia (Perser,09 Mei 2018,45.667.877.639,Utama
490,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Utama
491,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,15.000.000.000,Utama
492,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,9.843.750.000,Pengembangan
493,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,24.000.000.000,Utama
494,TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,37.500.000.000,Pemantauan Khusus
495,CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.829.803.403,Pengembangan
496,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,Pemantauan Khusus
497,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,1.475.363.179,Pengembangan
498,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,Pemantauan Khusus
499,KMTR,Kirana Megatara Tbk.,19 Jun 2017,8.215.366.379,Pengembangan
500,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pemantauan Khusus
501,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.387.922.900,Pemantauan Khusus
502,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.437.500.000,Utama
503,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,Utama
504,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,Pemantauan Khusus
505,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,9.677.752.680,Pengembangan
506,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,Pengembangan
507,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama
508,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,11.004.929.322,Pemantauan Khusus
509,MDKI,Emdeki Utama Tbk.,25 Sep 2017,2.530.150.002,Pengembangan
510,BELL,Trisula Textile Industries Tbk,03 Okt 2017,7.250.000.000,Pengembangan
511,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,1.075.862.960,Pengembangan
512,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,124.835.258.434,Pengembangan
513,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,2.924.486.639,Pengembangan
514,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,25.250.000.000,Pemantauan Khusus
515,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,Pengembangan
516,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Pengembangan
517,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,Pengembangan
518,PSSI,IMC Pelita Logistik Tbk.,05 Des 2017,5.417.063.153,Utama
519,MORA,Ekamas Mora Republik Tbk.,08 Agt 2022,47.774.192.736,Utama
520,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,9.252.820.991,Pengembangan
521,PBID,Panca Budi Idaman Tbk.,13 Des 2017,7.500.000.000,Utama
522,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan
523,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,5.885.000.000,Pengembangan
524,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Utama
525,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,Pemantauan Khusus
526,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan
527,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,1.400.000.000,Pemantauan Khusus
528,HELI,Jaya Trishindo Tbk.,27 Mar 2018,832.862.387,Pengembangan
529,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,2.032.540.000,Pemantauan Khusus
530,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,Pemantauan Khusus
531,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,Pengembangan
532,TDPM,Tianrong Chemicals Industry Tb,09 Apr 2018,10.485.050.500,Pemantauan Khusus
533,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,1.899.852.850,Pengembangan
534,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,Pengembangan
535,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,7.626.663.000,Utama
536,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,Utama
537,PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.434.905,Pengembangan
538,HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,15.365.950.000,Utama
539,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pengembangan
540,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,Pengembangan
541,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,3.555.575.600,Utama
542,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,60.676.178.205,Utama
543,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,Pemantauan Khusus
544,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan
545,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,28.504.000.000,Utama
546,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,5.000.000.000,Pengembangan
547,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama
548,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,16.198.599.990,Pengembangan
549,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3.534.000.000,Pengembangan
550,POLL,Pollux Properties Indonesia Tb,11 Jul 2018,8.318.823.600,Pemantauan Khusus
551,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,Pengembangan
552,MGRO,Mahkota Group Tbk.,12 Jul 2018,3.554.445.700,Pengembangan
553,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.148,Pemantauan Khusus
554,FILM,MD Entertainment Tbk.,07 Agt 2018,10.887.566.758,Utama
555,ANDI,Andira Agro Tbk.,16 Agt 2018,9.350.000.000,Pemantauan Khusus
556,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,2.792.620.000,Pengembangan
557,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,2.724.036.581,Pengembangan
558,PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,18.189.502.198,Utama
559,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,1.625.000.000,Pemantauan Khusus
560,CITY,Natura City Developments Tbk.,28 Sep 2018,5.405.188.966,Pengembangan
561,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan
562,SURE,Super Energy Tbk.,05 Okt 2018,1.497.576.771,Pengembangan
563,HKMU,HK Metals Utama Tbk.,06 Jun 2026,3.221.750.000,Pemantauan Khusus
564,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan
565,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,1.283.330.000,Pemantauan Khusus
566,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,36.897.901.455,Utama
567,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,7.500.000.000,Utama
568,YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,1.912.774.405,Pengembangan
569,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.219,Pengembangan
570,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.375.000.000,Pengembangan
571,SOSS,ALSOK Indonesia Services Tbk.,06 Nov 2018,974.525.743,Pemantauan Khusus
572,DEAL,Dewata Freightinternational Tb,11 Nov 2018,1.146.170.959,Pemantauan Khusus
573,POLA,Pool Advista Finance Tbk.,16 Nov 2018,3.351.075.600,Pengembangan
574,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,1.428.571.400,Pengembangan
575,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,Pengembangan
576,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.232.122.640,Pemantauan Khusus
577,SOTS,Satria Mega Kencana Tbk.,10 Des 2018,1.000.003.979,Pengembangan
578,ZONE,Mega Perintis Tbk.,12 Des 2018,870.171.478,Pengembangan
579,PEHA,Phapros Tbk.,26 Des 2018,840.000.000,Pengembangan
580,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,650.000.000,Pemantauan Khusus
581,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,8.120.249.598,Pengembangan
582,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,2.010.526.400,Pengembangan
583,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,2.570.000.000,Pengembangan
584,NATO,Olympus Strategic Indonesia Tb,18 Jan 2019,8.001.111.504,Pengembangan
585,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,798.499.394,Pengembangan
586,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,14.237.823.696,Pengembangan
587,MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,Pemantauan Khusus
588,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,2.433.379.958,Pemantauan Khusus
589,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,5.958.750.000,Pemantauan Khusus
590,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pemantauan Khusus
591,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,1.082.575.738,Pengembangan
592,FITT,Hotel Fitra International Tbk.,11 Jun 2019,1.304.272.051,Pengembangan
593,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,6.000.000.000,Utama
594,CCSI,Communication Cable Systems In,18 Jun 2019,1.333.333.331,Pengembangan
595,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,1.359.934.021,Pengembangan
596,POLU,Golden Flower Tbk.,26 Jun 2019,750.000.000,Pengembangan
597,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan
598,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pemantauan Khusus
599,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,940.720.000,Pengembangan
600,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Pengembangan
601,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,42.197.950.841,Pemantauan Khusus
602,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,418.000.000,Pengembangan
603,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,1.800.000.000,Pemantauan Khusus
604,EAST,Eastparc Hotel Tbk.,09 Jul 2019,4.126.405.336,Pengembangan
